Country or region,Highest point,Maximum elevation
Malaysia,Gunung Kinabalu on Borneo,"13,436 ft"
Maldives,Mount Villingili on Villingili,17 ft
Mali,Hombori Tondo,"3,789 ft"
Malta,Ta'Dmejrek on Malta Island,830 ft
Marshall Islands,Unnamed location on Likiep,33 ft
Martinique,Mount Pelée,"4,583 ft"
Mauritania,Kediet ej Jill,"3,002 ft"
Mauritius,Piton de la Petite Rivière Noire,"2,717 ft"
Mayotte,Benara on Mahoré,"2,165 ft"
Mexico,Volcán Citlaltépetl (Pico de Orizaba)[40],"18,491 ft"
Micronesia,Nanlaud on Pohnpei,"2,566 ft"
Moldova,Bălănești Hill,"1,411 ft"
Monaco,along Chemin des Révoires on Mont Agel,528 ft
Mongolia,Khüiten Peak,"14,350 ft"
Montenegro,Zla Kolata,"8,314 ft"
Montserrat,Chances Peak,"3,002 ft"
Morocco,Jbel Toubkal,"13,665 ft"
Mozambique,Monte Binga,"7,992 ft"
Myanmar,Hkakabo Razi,"19,295 ft"
Namibia,Königstein,"8,442 ft"
Nauru,Command Ridge,233 ft
Nepal,Mount Everest[11][42],"29,029 ft"
Netherlands,Mount Scenery[43] on Saba,"2,910 ft"
New Caledonia,Mont Panié,"5,341 ft"
New Zealand,Aoraki / Mount Cook[44] in the South Island,"12,218 ft"
Nicaragua,Mogotón,"6,913 ft"
Niger,Mont Idoukal-n-Taghès,"6,634 ft"
Nigeria,Chappal Waddi,"7,936 ft"
Niue,Unnamed location near Mutalau on Niue,223 ft
Norfolk Island,Mount Bates,"1,047 ft"
Northern Mariana Islands,Mount Agrihan on Agrihan,"3,166 ft"
Norway,Galdhøpiggen,"8,100 ft"
Oman,Jabal Shams,"9,872 ft"
Pakistan,K2[45],"28,251 ft"
Palau,Mount Ngerchelchuus on Babeldaob,794 ft
Palestine,Mount Nabi Yunis,"3,379 ft"
Panama,Volcán Barú,"11,401 ft"
Papua New Guinea,Mount Wilhelm,"14,793 ft"
Paraguay,Cerro Peró,"2,762 ft"
Peru,Huascarán[46],"22,205 ft"
Philippines,Mount Apo on Mindanao,"9,692 ft"
Pitcairn Islands,Pawala Valley Ridge,"1,138 ft"
Poland,Northwestern peak of Rysy,"8,199 ft"
Portugal,Montanha do Pico on Pico Island[47],"7,713 ft"
Puerto Rico,Cerro de Punta,"4,390 ft"
Qatar,Qurayn Abu al Bawl,338 ft
Réunion,Piton des Neiges,"10,069 ft"
Romania,Moldoveanu,"8,346 ft"
Russia,Mount Elbrus[48],"18,510 ft"
Rwanda,Mount Karisimbi,"14,787 ft"
Saint Barthélemy,Morne du Vitet,938 ft
"Saint Helena, Ascension and Tristan da Cunha",Queen Mary's Peak on Tristan da Cunha,"6,759 ft"
Saint Kitts and Nevis,Mount Liamuiga on Saint Kitts,"3,793 ft"
Saint Lucia,Mount Gimie,"3,117 ft"
Saint Martin,Pic Paradis on Saint Martin,"1,391 ft"
Saint Pierre and Miquelon,Morne de la Grande Montagne on Miquelon,787 ft
Saint Vincent and the Grenadines,La Soufrière,"4,049 ft"
Samoa,Mauga Silisili on Savai'i,"6,093 ft"
San Marino,Monte Titano,"2,477 ft"
São Tomé and Príncipe,Pico de São Tomé on São Tomé Island,"6,640 ft"
Saudi Arabia,Jabal Sawda,"9,843 ft"
Senegal,Baunez ridge 2.7 km southeast of Nepen Diakha,"2,126 ft"
Serbia,Midžor (Velika Rudoka if Kosovo is considered part of Serbia),"7,116 ft"
Seychelles,Morne Seychellois on Mahé,"2,969 ft"
Sierra Leone,Mount Bintumani,"6,391 ft"
Singapore,Bukit Timah Hill,537 ft
Sint Maarten,200 m SW of Flagstaff Peak (The summit is wholly in Saint Martin.) [50][51][52],"1,257 ft"
Slovakia,Gerlachovský štít,"8,711 ft"
Slovenia,Triglav,"9,396 ft"
Solomon Islands,Mount Popomanaseu on Guadalcanal,"7,661 ft"
Somalia,Shimbiris,"8,038 ft"
South Africa,Mafadi,"11,319 ft"
Georgia,Mount Paget[53],"9,626 ft"
South Sudan,Kinyeti,"10,456 ft"
Spain,Teide[54] on Tenerife[55],"12,188 ft"
Sri Lanka,Pidurutalagala on Sri Lanka,"8,281 ft"
Sudan,Deriba Caldera,"9,980 ft"
Suriname,Juliana Top,"4,035 ft"
Svalbard and Jan Mayen,Haakon VII Toppen,"7,470 ft"
Sweden,Kebnekaise,"6,880 ft"
Switzerland,Dufourspitze(Monte Rosa),"15,203 ft"
Syria,Jabal el-Sheikh,"9,232 ft"
Taiwan,Yu Shan,"12,966 ft"
Tajikistan,Ismoil Somoni Peak,"24,590 ft"
Tanzania,Kilimanjaro[58],"19,331 ft"
Thailand,Doi Inthanon,"8,415 ft"
Timor-Leste,Mount Ramelau on Timor,"9,721 ft"
Togo,Mont Agou,"3,235 ft"
Tokelau,Unnamed location,16 ft
Tonga,Unnamed location on Kao,"3,389 ft"
Trinidad and Tobago,El Cerro del Aripo on Trinidad,"3,084 ft"
Tunisia,Jebel ech Chambi,"5,066 ft"
Turkey,Mount Ararat,"16,854 ft"
Turkmenistan,Aýrybaba,"10,299 ft"
Turks and Caicos Islands,Blue Hills on Providenciales,161 ft
Tuvalu,Unnamed location on Niulakita,15 ft
Uganda,Mount Stanley (Margherita Peak),"16,762 ft"
Ukraine,Hoverla,"6,762 ft"
United Arab Emirates,Jabal Al Jais,"6,266 ft"
United Kingdom,Ben Nevis,"4,413 ft"
United States,Denali[61][62][63],"20,310 ft"
United States Minor Outlying Islands,Unnamed hill on Sand Island (Johnston Atoll),43 ft
Uruguay,Cerro Catedral,"1,685 ft"
Uzbekistan,Khazret Sultan,"15,233 ft"
Vanuatu,Mount Tabwemasana on Espiritu Santo,"6,158 ft"
Vatican City,Vatican Hill,246 ft
Venezuela,Pico Bolívar,"16,332 ft"
Vietnam,Fan Si Pan,"10,312 ft"
British Virgin Islands,Mount Sage on Tortola,"1,709 ft"
United States Virgin Islands,Crown Mountain on Saint Thomas,"1,555 ft"
Wallis and Futuna,Mont Puke on Futuna,"1,719 ft"
Yemen,Jabal An-Nabi Shu'ayb,"12,028 ft"
Zambia,Mafinga Central,"7,641 ft"
Zimbabwe,Mount Nyangani,"8,504 ft"
